Conrad-blunderbuss, short but large barelled gun, 0
knoll, grassy hill, 1
lintel, support beam across top of door , 0
frustrum, bottom of cone, 0
toothsome, temptingly tasty, 0
Greene-pye-dog, stray mongrel, 0
quadroon, quarter African, 1
pillory, public punishment, 0
Conrad-incorrigible, hardened, 0
objurgate, scold, 0
clarvoyance, supernatural intuition, 1
tryst, lovers escape, 1
purloin, steal, 0
impertinent, disrespectful, 0
tautology, banal, 0
haddock, fish, 0
proselyte, converted person, 1
Milton-cumbrous, cumbersome, 0
denude, bare, 1
matzo, unleaven bread, 1
striated, marked with ridges, 1
Milton-quaff, drink heartily, 1
phrenetic, frantic, 1
paraffin, gas lamp, 0
mulish, stubborn, 0
billfold, money-clip, 1
salvo, sudden applause, 1
palisade, fenced in area, 1
fiduciary, trustee, 1
penultimate, next to last, 1
gout, sickness of joints, 1
tallow, fat for soap and candles, 0
raglan, loose fitting overcoat, 0
perfidy, treachery, 0
rostrum, projected part of platform, 1
effete, decadent, 0
ambergris, green rust, 1
potation, drink, 1
wherry, rowboat, 0
preen, primp, 1
gratuitous, without reason, 0
witting, know, 0
sidereal, stars, 0
balmy, pleasant, 0
hawser, mooring line, 1
askance, suspicious, 1
seaway, way to sea from inland, 0
somnolent, sleepy, 0
saccharine, overly sweet, 1
taffeta, fine silk, 0
Milton-convex, curved like a circle, 1
ocelot, leopardlike cat, 0
extricate, extract, 1
pernicious, harmful, 1
pone, biscuit, 0
legato, smooth flowing manner, 0
ineluctable, inespacable, 1
skein, length of coiled yarn, 0
stiletto, dagger, 1
Milton-refulgent, shining brightly, 0
slaver, slober, 0
voracious, greedy, 0
Conrad-centupled, multiply by a hundred, 1
caisson, storage for artillary, 0
restive, restless, 0
porcine, pigs, 1
chandler, boat supplier, 0
benighted, beset by darkness, 1
sarsaparilla, root beer, 1
peen, wedge side end of hammer, 0
lithe, agile, 1
tenuous, thin, 0
caustic, harsh words, 1
arrogate, claim unjustly, 0
friable, can be crumbled, 0
knight errant, wandering knight, 0
machination, plot, 1
sedulous, ape, 1
bilk, cheat, 1
quartermaster, responsible for living quarters, 1
lassitude, lack of vigor, 1
louver, slated blinds, 0
drivel, nonsensical utterance, 1
ornery, ugly, 0
idyll, pastoral, 0
diffident, shy, 0
purvey, provide food, 1
Milton-orbicular, shape of a flat disk or ring, 0
rapier, dagger, 1
burlap, hemp used for sack, 1
tom, male, 1
abide, remain, 1
rosin, resin, 0
vituperate, scold, 0
valance, curtain, 0
Ford-suet, fat, 1
pinto, mottled, 0
sateen, satin like fabric, 1
timothy, hay, 1
pilaster, wall column, 1
Greene-angostura, tonic and fever med, 0
potash, mined ash, 0
fission, cleave, 0
regalia, shwag of royalty, 1
tress, curl, 0
clangor, noise of bells, 1
obviate, prepare, 0
ukase, edict of Russian government, 0
semaphore, flag ring, 0
incisor, front tooth, 0
odium, hate, 0
oligarchy, gov. of few, 1
waif, homeless, 0
whippet, greyhound, 1
sapsucker, woodpecker, 0
philately, stamps, 0
phosphate, salt, 1
sepsis, blood infection, 1
parsnip, edible root, 0
mica, silicate material, 1
Greene-gaseosa, Mexican soda water, 1
pogrom, organized massacre often Jews, 0
pinochle, card game, 0
laudanum, alcohol containing morphine, 0
nostrum, false medicine, 0
lumbago, pain in back, 1
Milton-intervolved, to roll, 0
Ford-espaliers, patterned woody plant growth for fruit, 0
spindling, lanky, 0
Greene-bonhomie, geniality, 0
Milton-imputation, accuasation, 0
raconteur, teller of tales, 1
sprig, spray as in twig, 1
falsetto, artificially high, 0
Ford-spruit, small stream, 0
pastiche, work from others, 1
pimento, red pepper in olive, 1
Mammon, wealth personified as evil, 1
moonstruck, crazy, 0
Greene-contrition, remorse or penitence, 1
font, fount, 0
retch, vomit, 1
trumpery, valueless, 0
paling, stake, 1
Melville-panegyric, eulogy, 1
Greene-breviary, book containing church service, 0
narwhal, sworded whale, 1
accede, consent, 0
placket, slit in a garment, 0
numismatics, coins, 0
mandrel, lathe, 1
plenary, absolute, 0
abreast, side by side, 1
miscegenation, mix of races, 1
cursory, too quickly, 0
miter, priest hat, 1
Crane-rueful, regretful, 1
Melville-cats-paw, person used by another to carry out danger, 0
Melville-mollified, blandish, 1
loon, diving bird, 0
sconce, candle bracket, 1
catechism, instructional prayers, 0
Greene-diffidence, shyness, 1
foundry, place of metal casting, 0
Melville-conglobated, globular, 0
juniper, biblical bush, 0
paisley, bandana pattern, 1
appurtenance, accessory, 0
umbrage, dislike, 0
dyspepsia, indigestion, 1
quisling, traitor, 0
marauder, adventurer, 1
whitlow, abscess near fingernail, 0
polonium, radioactive metal , 1
redletter, memorable, 1
valise, small suitcase, 1
Greene-groundsel, type of daisy, 0
goiter, enlargement of thyroids because of diet, 0
obstreperous, unruly, 1
Milton-sapience, wisdom, 1
spatter, spray or splash, 0
ape, mimic, 1
lisle, fine cotton thread, 0
sodden, saturated, 0
ultimo, preceding, 0
quiescent, passive, 0
pariah, outcast, 0
simian, ape, 0
maple, canadian leaf tree, 1
bivouac, temp encampment, 1
pyorrhea, pimple, 0
draftsman, sketcher for architecture, 1
promulgate, spread, 0
politburo, policymkaing committee of Communists, 1
Milton-specious, superficially plausible but wrong, 1
rheumatism, pain in joints, 1
leer, suspiciuos look, 1
Ford-mien, manner, 1
staid, quiet, 0
imbroglio, confusing sit., 1
Conrad-gharry, horse-drawn cab, 0
tarpaulin, tarp, 1
tankard, mug, 0
Melville-exigencies, urgent needs, 1
stalactite, hanging down, 0
igneous, from heat, 0
hangdog, abject, 1
Conrad-capstan, revolving cable wheel, 0
bedstead, bed frame, 1
repudiate, refuse to accept, 0
banter, badinage, 0
collier,miner, 0
aria, opera song, 1
variegate, to color, 0
stilted, affected, 0
repatriate, return to home country, 1
Ford-blandishment, flattering for persuasion, 0
trill, bird song, 0
monaural, sound into one channel, 0
Milton-insinuate, imply, 0
perigee, closest to earth, 1
metempsychosis, soul to soul, 0
weevil, small beetle, 0
bevel, meet at angle, 1
longshoreman, ship chandler, 0
peroration, closing of speech, 0
lugubrious, mournful, 1
sienna, brownish yellow, 1
selvage, edge preventing unravel on fabric, 1
crestfallen, abashed, 1
sapient, wise, 0
Milton-shoal, school of fish or shallow water, 0
dolly, small mat, 1
Melville-pertinacious, holding to an opinion, 0
peccadillo, venial offense, 1
dolorous, sorrowful, 0
disaffect, to alienate, 0
comely, handsome, 0
Milton-globose, ball-shaped, 1
Milton-dulcimer, archaic stringed instrument like a guitar, 0
Conrad-serang, commander/boatswain, 0
moraine, mass of sediment deposited by glacier, 0
yoke, tie to plow, 1
mesquite, type of tree wood, 0
licit, permissible, 0
quintescence, essence, 1
papoose, bag for carrying child on back, 1
tartan, scottish woolen cloth of plaid, 1
skulduggery, trecherous intrique, 1
interlard, embellish speech with material, 0
Melville-pantaloons, work pants, 0
hanker, yearn, 0
legume, pod veg, 1
shallot, onion, 1
antipathy, dislike, 0
meringue, eggwhite, 1
dearth, scarcity, 1
jute, fiber for burlap, 0
settee, couch, 0
badinage, banter, 0
uncanny, strange, 0
lubber, clumsy person, 0
Milton-deprecation, disapproval, 0
hutch, coop for small animals, 1
morocco, goat leather, 1
rapine, booty, 1
Ford-Chiffney bit, bit for a horse, 1
Melville-parterres, space in garden of ornamental flower beds, 0
polemics, verbal attack, 0
noncomposmentis, not healthy mind, 1
convivial, amiable, 0
hale, healthy, 1
grommet, eyelet, 1
Milton-redound, contribute greatly to, 0
pickerel, fish, 0
abject, unfavorable, 0
wigwam, american indian dwelling, 0
bangle, anklet, 1
loam, rich soil, 1
Milton-eremites, Christian hermit, 0
overweening, conceded, 0
wizened, wrinkled, 1
Greene-premonitory, giving warning, 0
egalitarian, believer of equality, 1
prophylaxis, preventative meds, 1
lath, thin wood in building, 0
ecumenical, universal, 1
Conrad-inanition, torpor, 0
sahib, title or address for man in India, 0
girder, support beam, 0
popover, biscuit, 0
Crane-ladened, burdened with stress, 1
table land, plateau, 0
spoor, scent of animal, 1
junta, temp. leaders, 0
traipse, walk reluctantly, 0
rove, wander, 0
effrontery, impudence, 0
unconscionable, without conscious, 1
verdant, springy, 0
descry, perceive, 0
shad, herring like fish, 0
malcontent, discontented, 1
pistil, female part of plant, 1
paroxysm, sharp nerve pain, 0
shanghai, abduct for ship work, 1
ligature, fasten, 0
abbot, head priest, 1
dropsy, adema, 0
impost, tax, 1
labial, lips, 1
salient, distinct, 1
hillock, small hill, 1
styptic, stops bleeding, 0
halibut, fish, 0
nadir, lowest point, 1
pellagra, deficiency disease, 0
cupidity, greed, 1
kilter, out of harmony, 0
agog, in awe, 0
lannai, hawaian open air living, 1
Crane-philippic, tirade, 0
poinsetia, christmas flower, 0
Greene-gaoler, warden, 1
maharajah, indian lord, 0
bulrush, long marshgrass, 0
kibbitz, unwanted advice, 0
simper, affected smile, 0
perforce, neccessary, 0
stentorian, loud, 1
Melville-cravat, fabric worn around neck by men, 1
tenement, shabby apartment, 1
flax, fiber for linen, 0
feckless, ineffective, 1
cavil, quibble, 0
piebald, mottled, 1
cordwood, wood of uniform lengths esp firewood, 1
requite, avenge, 0
persimmon, tomato like fruit, 1
pleurisy, inflammation causing pain in breathing, 1
gable, upper side of house, 1
vicissitude, fold, 1
Melville-gurried, waste parts of a fish after cleaning, 1
sheik, arab chief, 0
uncouth, uncivilized, 0
sloven, careless, 0
lark, songbird, 0
mansard, french roof, 0
shah, former Iranian sovereign, 0
nary, not any, 0
stanchion, support bar, 0
billet, temp. place of soldier housing, 0
Milton-swage, shaped tool for manipulating metal, 0
catharsis, emotional purge, 1
lode, metal ore, 1
victual, food, 1
outrigger, spar projecting from boat for balance, 0
sturgeon, large temperate fish, 1
Milton-puissant, having great power, 0
ombudsman, represen. looking after other reps, 0
proboscis, trunk as in nose, 1
gusset, plate uniting beams, 0
Milton-smote, strike with a firm blow, 1
patella, knee cap, 1
cogent, persuasive, 1
peat, decomposed vegetable matter, 1
tincture, tinge, 1
Ford-laconic, terse, 1
sputum, spit, 0
roister, celebrate noisily, 0
admonish, warn, 0
obverse, primary side, 0
scrimp, save, 0
grouse, bird, 0
Milton-transubstantiate, convert eucharist into body and blood of christ, 1
ragout, stew, 0
quince, hard acidic fruit, 0
cassock, priest robe, 0
shantung, textured silk, 0
Ford-cockle, typical ornamental shell from the beach, 0
sclerosis, hardening of tissue, 0
cogwheel, cog in small piece, 1
venial, pardonable, 1
tempera, type of paint used before oils, 0
sheaf, bundle, 0
Milton-baleful, threatening harm, 0
peculate, embezzle, 0
genial, amiable, 1
stopgap, makeshift, 1
lattice, part of window, 1
